leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,volume,estimated_volume,estimated_volume_b,measured_rate,tagged,component,date_began,day_ts_began,estimated_date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,M_OGI_2x_sp_covered,estimated_volume_a,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00609_0000000002,ABRAND00609,5,0.1341642374105422,53.21,-115.29,repaired,125,4520.798143785631,,0.0,0.1341642374105422,True,unknown,2022-09-23,0,283.0,2023-01-10 10:30:00,M_OGI_2x,1.0,M_OGI_2x,2023-01-10 10:30:00,False,2023-01-26 16:00:00,16.0,1.0,0.0,0.1596925704526046,54.833753893314736,0.572393261423997
ABRAND00124_0000000015,ABRAND00124,2,0.13239021861449865,54.83,-119.3,repaired,69,12834.013704664392,,0.0,0.13239021861449865,True,unknown,2024-11-19,0,1015.0,2025-01-11 10:30:00,M_OGI_2x,1.0,M_OGI_2x,2025-01-11 10:30:00,False,2025-01-27 16:00:00,16.0,1.0,0.0,0.1605465414175918,54.96614411192923,0.573775243572453
ABRAND00729_0000000001,ABRAND00729,1,0.13206724362244726,52.94,-114.81,repaired,141,353.7289053183627,,0.0,0.13206724362244726,True,unknown,2021-09-14,0,0.0,2022-01-16 10:30:00,M_OGI_2x,1.0,M_OGI_2x,2022-01-16 10:30:00,False,2022-02-01 16:00:00,16.0,1.0,0.0,0.161400512382579,55.098211355551676,0.5751538542809485
ABRAND00951_0000000013,ABRAND00951,1,0.13200864736430853,52.7,-114.14,repaired,267,14781.58908343003,,0.0,0.13200864736430853,True,unknown,2024-10-26,0,1188.0,2025-07-04 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2025-07-04 13:00:00,False,2025-07-20 16:00:00,16.0,1.0,0.0,0.16225448334756618,55.230220002915985,0.5765318533205188
ABRAND00706_0000000001,ABRAND00706,2,0.13151063125279197,52.3,-114.95,repaired,175,261.33792642554823,,0.0,0.13151063125279197,True,unknown,2021-08-03,0,0.0,2022-01-08 10:30:00,M_OGI_2x,1.0,M_OGI_2x,2022-01-08 10:30:00,False,2022-01-24 16:00:00,16.0,1.0,0.0,0.16310845431255336,55.36173063416878,0.5779046537179013
ABRAND01038_0000000007,ABRAND01038,1,0.13127128455922485,53.72,-113.16,repaired,249,12748.227020170738,,0.0,0.13127128455922485,True,unknown,2024-05-25,0,1017.0,2025-01-13 08:00:00,M_OGI_2x,1.0,M_OGI_2x,2025-01-13 08:00:00,False,2025-01-29 16:00:00,16.0,1.0,0.0,0.16396242527754057,55.493001918728005,0.5792749556462786
ABRAND00759_0000000001,ABRAND00759,3,0.13052374047952137,52.56,-114.65,repaired,188,2435.8862543250198,,0.0,0.13052374047952137,True,unknown,2022-01-29,0,99.5,2022-07-19 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2022-07-19 13:00:00,False,2022-08-05 00:00:00,16.0,1.0,0.0,0.16481639624252775,55.62352565920752,0.5806374541841626
ABRAND00238_0000000003,ABRAND00238,2,0.12841512031248262,54.31,-118.44,repaired,62,8254.729397878884,,0.0,0.12841512031248262,True,unknown,2023-11-14,0,637.0,2023-12-30 08:00:00,M_OGI_2x,1.0,M_OGI_2x,2023-12-30 08:00:00,False,2024-01-15 16:00:00,16.0,1.0,0.0,0.16567036720751493,55.751940779520005,0.5819779414627615
ABRAND01007_0000000009,ABRAND01007,1,0.12694912648129636,53.01,-113.88,repaired,76,14368.609931659048,,0.0,0.12694912648129636,True,unknown,2025-05-19,0,1202.0,2025-07-18 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2025-07-18 13:00:00,False,2025-08-03 16:00:00,16.0,1.0,0.0,0.16652433817250215,55.878889906001305,0.5833031256674202
ABRAND01148_0000000001,ABRAND01148,5,0.1267372599526419,55.08,-110.57,repaired,212,284.7025807576148,,0.0,0.1267372599526419,True,unknown,2021-06-30,0,0.0,2022-01-11 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2022-01-11 13:00:00,False,2022-01-27 16:00:00,16.0,1.0,0.0,0.16737830913748933,56.005627165953946,0.5846260982603485
