leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,volume,estimated_volume,estimated_volume_b,measured_rate,tagged,component,date_began,day_ts_began,estimated_date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,M_Air_sp_covered,M_OGI_FollowUp_sp_covered,estimated_volume_a,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00331_0000000004,ABRAND00331,1,0.14955388447779727,53.42,-116.24,repaired,365,6538.2565431541325,,,,True,unknown,2022-05-22,0,,2023-05-22 00:00:00,natural,1.0,natural,2023-05-22 00:00:00,False,2023-05-22 00:00:00,0.0,1.0,,,0.13528336380255943,47.63774731671032,0.5364160942656638
ABRAND00731_0000000013,ABRAND00731,3,0.14921471901319178,53.13,-114.79,repaired,365,16308.57192926581,,,,True,unknown,2024-06-19,0,,2025-06-19 00:00:00,natural,1.0,natural,2025-06-19 00:00:00,False,2025-06-19 00:00:00,0.0,1.0,,,0.13619744058500913,47.78696203572351,0.538096299172245
ABRAND00514_0000000007,ABRAND00514,1,0.14914816319331906,54.13,-115.65,repaired,97,3775.7155808715106,,0.0,0.14914816319331906,True,unknown,2022-07-16,0,230.5,2022-10-04 08:00:00,M_OGI_FollowUp,1.0,M_Air,2022-10-01 16:05:00,False,2022-10-21 00:00:00,16.0,1.0,1.0,0.0,0.13711151736745886,47.93611019891683,0.5397757546392542
ABRAND00580_0000000006,ABRAND00580,2,0.14858978608451157,53.2,-115.42,repaired,365,10026.601021325107,,,,True,unknown,2023-02-21,0,,2024-02-21 00:00:00,natural,1.0,natural,2024-02-21 00:00:00,False,2024-02-21 00:00:00,0.0,1.0,,,0.1380255941499086,48.08469998500134,0.5414489226035015
ABRAND00660_0000000007,ABRAND00660,4,0.14687859103083223,52.87,-115.13,repaired,365,8718.243152098903,,,,True,unknown,2022-11-19,0,,2023-11-19 00:00:00,natural,1.0,natural,2023-11-19 00:00:00,False,2023-11-19 00:00:00,0.0,1.0,,,0.13893967093235832,48.23157857603218,0.5431028219704929
ABRAND01138_0000000013,ABRAND01138,1,0.1460240295364779,54.86,-110.67,repaired,365,22987.219548855977,,,,True,unknown,2025-12-28,0,,2026-12-28 00:00:00,natural,1.0,natural,2026-12-28 00:00:00,False,2026-12-28 00:00:00,0.0,1.0,,,0.13985374771480805,48.377602605568654,0.5447470987049097
ABRAND00676_0000000005,ABRAND00676,1,0.14506691350540094,52.93,-115.07,repaired,365,9701.14674699478,,,,True,unknown,2023-02-14,0,,2024-02-14 00:00:00,natural,1.0,natural,2024-02-14 00:00:00,False,2024-02-14 00:00:00,0.0,1.0,,,0.14076782449725778,48.52266951907406,0.5463805980102483
ABRAND00144_0000000013,ABRAND00144,4,0.14466963838318603,54.7,-119.15,repaired,365,16961.76281830897,,,,True,unknown,2024-09-19,0,,2025-09-19 00:00:00,natural,1.0,natural,2025-09-19 00:00:00,False,2025-09-19 00:00:00,0.0,1.0,,,0.1416819012797075,48.66733915745724,0.5480096238721222
ABRAND00542_0000000009,ABRAND00542,5,0.14173893553738173,53.14,-115.59,repaired,365,15124.111377580783,,,,True,unknown,2024-05-20,0,,2025-05-20 00:00:00,natural,1.0,natural,2025-05-20 00:00:00,False,2025-05-20 00:00:00,0.0,1.0,,,0.1425959780621572,48.809078092994625,0.5496056490934841
ABRAND00545_0000000006,ABRAND00545,1,0.14169637263417184,52.72,-115.57,repaired,365,15315.450811086152,,,,True,unknown,2024-06-05,0,,2025-06-05 00:00:00,natural,1.0,natural,2025-06-05 00:00:00,False,2025-06-05 00:00:00,0.0,1.0,,,0.14351005484460694,48.9507744656288,0.5512011950431006
