leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,volume,estimated_volume,estimated_volume_b,measured_rate,tagged,component,date_began,day_ts_began,estimated_date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00874_0000000004,ABRAND00874,3,0.020337422336451368,52.86,-114.31,repaired,365,794.233287020968,,,,True,unknown,2022-03-29,0,,2023-03-29,natural,1.0,natural,2023-03-29,False,2023-03-29,0.0,0.696969696969697,83.62480744133939,0.9585369663584163
ABRAND00706_0000000005,ABRAND00706,4,0.02033292740853355,52.3,-114.95,repaired,365,1437.0337111835904,,,,True,unknown,2023-03-30,0,,2024-03-29,natural,1.0,natural,2024-03-29,False,2024-03-29,0.0,0.6978879706152433,83.64514036874792,0.9587700295265322
ABRAND00545_0000000007,ABRAND00545,2,0.02032137495788038,52.72,-115.57,repaired,365,2321.1237047890636,,,,True,unknown,2024-08-15,0,,2025-08-15,natural,1.0,natural,2025-08-15,False,2025-08-15,0.0,0.6988062442607897,83.66546174370579,0.959002960276394
ABRAND00721_0000000005,ABRAND00721,1,0.02026969624495503,52.33,-114.83,repaired,365,518.3853196469779,,,,True,unknown,2021-10-25,0,,2022-10-24,natural,1.0,natural,2022-10-24,False,2022-10-24,0.0,0.699724517906336,83.68573143995074,0.9592352986666649
ABRAND00811_0000000009,ABRAND00811,2,0.02020417818361925,52.0,-114.47,repaired,365,2475.3189310017497,,,,True,unknown,2024-11-19,0,,2025-11-19,natural,1.0,natural,2025-11-19,False,2025-11-19,0.0,0.7006427915518825,83.70593561813436,0.9594668860658643
ABRAND01102_0000000001,ABRAND01102,2,0.020163178100107353,50.5,-111.25,repaired,365,850.1441108704464,,,,True,unknown,2022-05-04,0,,2023-05-04,natural,1.0,natural,2023-05-04,False,2023-05-04,0.0,0.7015610651974288,83.72609879623447,0.9596980035076806
ABRAND00874_0000000013,ABRAND00874,5,0.020016062685740424,52.86,-114.31,repaired,365,2722.056422459509,,,,True,unknown,2025-04-24,0,,2026-04-24,natural,1.0,natural,2026-04-24,False,2026-04-24,0.0,0.7024793388429752,83.74611485892021,0.9599274346608547
ABRAND00421_0000000004,ABRAND00421,1,0.020009865889046182,53.19,-115.92,repaired,365,76.06950616379797,,,,True,unknown,2021-02-15,0,,2022-02-14,natural,1.0,natural,2022-02-14,False,2022-02-14,0.0,0.7033976124885216,83.76612472480926,0.9601567947841648
ABRAND00609_0000000003,ABRAND00609,2,0.019839852833389543,53.21,-115.29,repaired,365,1268.4808307555938,,,,True,unknown,2023-01-11,0,,2024-01-11,natural,1.0,natural,2024-01-11,False,2024-01-11,0.0,0.7043158861340679,83.78596457764264,0.9603842061580117
ABRAND01148_0000000008,ABRAND01148,4,0.01978080293156505,55.08,-110.57,repaired,365,2086.7639367836964,,,,True,unknown,2024-05-06,0,,2025-05-06,natural,1.0,natural,2025-05-06,False,2025-05-06,0.0,0.7052341597796143,83.80574538057421,0.960610940681107
